warehouse,date,orders,holiday_name,holiday,shutdown,mini_shutdown,shops_closed,winter_school_holidays,school_holidays,blackout,mov_change,frankfurt_shutdown,precipitation,snow,user_activity_1,user_activity_2,id,warehouse_limited,warehouse_Brno_1,warehouse_Budapest_1,warehouse_Frankfurt_1,warehouse_Munich_1,warehouse_Prague_1,warehouse_Prague_2,warehouse_Prague_3,holiday_name_1848 Revolution Memorial Day (Extra holiday),holiday_name_2nd Christmas Day,holiday_name_All Saints' Day Holiday,holiday_name_Christmas Eve,holiday_name_Cyrila a Metodej,holiday_name_Day of National Unity,holiday_name_Den boje za svobodu a demokracii,holiday_name_Den ceske statnosti,holiday_name_Den osvobozeni,holiday_name_Den vzniku samostatneho ceskoslovenskeho statu,holiday_name_Easter Monday,holiday_name_Good Friday,holiday_name_Independent Hungary Day,holiday_name_International womens day,holiday_name_Jan Hus,holiday_name_Labour Day,holiday_name_Memorial Day for the Martyrs of Arad,holiday_name_Memorial Day for the Victims of the Communist Dictatorships,holiday_name_Memorial Day for the Victims of the Holocaust,holiday_name_Memorial Day of the Republic,holiday_name_National Defense Day,holiday_name_New Years Day,holiday_name_Peace Festival in Augsburg,holiday_name_Reformation Day
Prague_1,2020-12-05,0.35189348089227046,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.4196277495769882,0.699945419812608,Prague_1_2020-12-05,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prague_1,2020-12-06,0.33396737564124734,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.4081218274111675,0.6983989811698355,Prague_1_2020-12-06,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prague_1,2020-12-07,0.35967490921666956,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.41082910321489,0.699422359683435,Prague_1_2020-12-07,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prague_1,2020-12-08,0.33200760850769495,,0,0,0,0,0,0,0,0.0,0,0.010000000000000002,0.0,0.4057529610829103,0.6964886746111163,Prague_1_2020-12-08,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prague_1,2020-12-09,0.35275808403942593,,0,0,0,0,0,0,0,0.0,0,0.00625,0.0,0.41353637901861257,0.6961930319294096,Prague_1_2020-12-09,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prague_1,2020-12-10,0.3710876707591216,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.4257191201353638,0.6966933503138362,Prague_1_2020-12-10,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prague_1,2020-12-11,0.403481468672546,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.4223350253807107,0.6975802783589558,Prague_1_2020-12-11,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prague_1,2020-12-12,0.36745633754106866,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.4148900169204737,0.697693987082689,Prague_1_2020-12-12,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prague_1,2020-12-13,0.3489538301919419,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.41793570219966164,0.6972846356772491,Prague_1_2020-12-13,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prague_1,2020-12-14,0.3585221050204623,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.41996615905245344,0.698353497680342,Prague_1_2020-12-14,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prague_1,2020-12-15,0.371952273906277,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.43113367174280876,0.6959883562266898,Prague_1_2020-12-15,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prague_1,2020-12-16,0.3826733529310047,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.4318104906937394,0.696102064950423,Prague_1_2020-12-16,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prague_1,2020-12-17,0.38895613580033433,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.4480541455160744,0.6972391521877559,Prague_1_2020-12-17,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prague_1,2020-12-18,0.41973600783906856,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.43857868020304563,0.697557536614209,Prague_1_2020-12-18,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prague_1,2020-12-19,0.4079774050377543,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.4433164128595601,0.6971481852087693,Prague_1_2020-12-19,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prague_1,2020-12-20,0.4229638595884489,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.4514382402707276,0.6963522241426363,Prague_1_2020-12-20,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prague_1,2020-12-21,0.4504582396679924,,0,0,0,0,0,0,0,0.0,0,0.011250000000000001,0.0,0.467005076142132,0.6990130082779951,Prague_1_2020-12-21,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prague_1,2020-12-22,0.4660210963167906,,0,0,0,0,0,0,0,0.0,0,0.03875000000000001,0.0,0.4483925549915398,0.6989220412990085,Prague_1_2020-12-22,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prague_1,2020-12-23,0.47138163582915443,,0,0,0,0,0,0,0,0.0,0,0.034999999999999996,0.0,0.4514382402707276,0.698489948148822,Prague_1_2020-12-23,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prague_1,2020-12-24,0.20387342209925643,Christmas Eve,1,0,0,0,0,0,0,0.0,0,0.0025000000000000005,0.0,0.39593908629441626,0.6944191758391705,Prague_1_2020-12-24,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prague_1,2020-12-26,0.4031356274136838,2nd Christmas Day,1,0,0,1,0,0,0,0.0,0,0.0,0.0,0.4686971235194585,0.685095060493041,Prague_1_2020-12-26,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prague_1,2020-12-27,0.34076892039887025,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.4236886632825719,0.6826844355498953,Prague_1_2020-12-27,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prague_1,2020-12-28,0.370050146982535,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.4358714043993232,0.6826162103156554,Prague_1_2020-12-28,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prague_1,2020-12-29,0.39235690817914576,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.42402707275803725,0.6797734922223233,Prague_1_2020-12-29,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prague_1,2020-12-30,0.3935673525851634,,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.42707275803722505,0.6784089875375239,Prague_1_2020-12-30,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
